COMPANY_CD_FSK,CUSTOMER_CD_FSK,PRODUCT_CD_FSK,INVOICE_YEAR_MONTH,QUANTITY_PIECES,GROSS_SALES
72,19392432,90956800,2021-11-01 00:00:00,100,4474.6900000000005
127,4216,508990,2021-07-01 00:00:00,44,4471.42
127,3584,511404,2021-06-01 00:00:00,150,4467.9
127,20751556,508109,2021-10-01 00:00:00,2,4462.34
127,3584,512725,2021-01-01 00:00:00,4,4462.12
127,2433,512110,2021-02-01 00:00:00,30,4460.1
127,2433,512110,2021-07-01 00:00:00,30,4460.1
127,2433,512110,2021-11-01 00:00:00,30,4460.1
127,4462,497724,2021-01-01 00:00:00,264,4458.22
127,4462,493101,2021-07-01 00:00:00,400,4455.54
213,32353079,154572889,2021-02-01 00:00:00,160,4449.6
72,19392432,90979012,2021-11-01 00:00:00,32,4444
127,2289,503677,2021-04-01 00:00:00,60,4433.22
127,4216,492610,2021-05-01 00:00:00,24,4432.9
127,620,497728,2021-06-01 00:00:00,72,4421.52
127,4216,503967,2021-05-01 00:00:00,24,4420.44
127,4216,501361,2021-10-01 00:00:00,96,4395
127,4462,496822,2021-06-01 00:00:00,480,4392.04
127,4462,496822,2021-07-01 00:00:00,480,4392.04
127,4216,496407,2021-07-01 00:00:00,20,4391.18
127,3584,505557,2021-01-01 00:00:00,208,4381.78
127,3584,497756,2021-03-01 00:00:00,48,4372.04
127,4216,501712,2021-04-01 00:00:00,106,4370.26
127,1285,493990,2021-05-01 00:00:00,30,4369.8
213,32351569,154570483,2021-04-01 00:00:00,2400,4368
127,3030,494418,2021-03-01 00:00:00,196,4357.08
211,3468752,13045624,2021-10-01 00:00:00,3300,4356
127,4462,503481,2021-12-01 00:00:00,8,4352.2
127,3030,500948,2021-09-01 00:00:00,350,4342.64
